OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,A_MEAN
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",detailed,29060,39936.67
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detailed,130360,39127.64
51-6092,Fabric and Apparel Patternmakers,detailed,4480,60398.78
45-4021,Fallers,detailed,7190,51867.34
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",detailed,4100,86265.61
29-1215,Family Medicine Physicians,detailed,297090,228523.04
25-9021,Farm and Home Management Educators,detailed,9800,57157.12
49-3041,Farm Equipment Mechanics and Service Technicians,detailed,116200,46759.39
13-1074,Farm Labor Contractors,detailed,930,57550
Nov-13,"Farmers, Ranchers, and Other Agricultural Managers",detailed,6810,76055.56
27-1022,Fashion Designers,detailed,33460,76284.8
35-3022,Fast Food and Counter Workers,detailed,9115450,27546.58
47-4031,Fence Erectors,detailed,60600,39175.97
51-2091,Fiberglass Laminators and Fabricators,detailed,38840,39972.2
43-4071,File Clerks,detailed,158360,36351.1
27-4032,Film and Video Editors,detailed,65750,62271.22
13-2051,Financial and Investment Analysts,detailed,604870,89198.43
13-2061,Financial Examiners,detailed,134010,88779.9
Nov-31,Financial Managers,detailed,1622620,140128.28
13-2099,"Financial Specialists, All Other",detailed,243750,76250.1
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,5390,64529.19
33-2021,Fire Inspectors and Investigators,detailed,23230,66112.17
33-2011,Firefighters,detailed,613300,47980.4
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detailed,2069840,72696.81
33-1011,First-Line Supervisors of Correctional Officers,detailed,109240,68873.27
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detailed,54990,56851.15
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,detailed,159650,75342.42
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,detailed,3302090,42901.83
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,412540,46022.49
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,391520,53665.39
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,1404310,73336.92
41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,596260,89176.47
43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,3846630,61177.64
39-1021,First-Line Supervisors of Personal Service Workers,detailed,273320,44902.83
33-1012,First-Line Supervisors of Police and Detectives,detailed,255490,96548.11
51-1011,First-Line Supervisors of Production and Operating Workers,detailed,1751160,66575.05
41-1011,First-Line Supervisors of Retail Sales Workers,detailed,3014690,49242.06
53-1031,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detailed,1407250,58599.46
33-3031,Fish and Game Wardens,detailed,13140,59855.45
45-3011,Fishing and Hunting Workers,detailed,140,22990
53-2031,Flight Attendants,detailed,198210,65325.4
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",detailed,40440,50218.88
47-2043,Floor Sanders and Finishers,detailed,6840,45207.12
27-1023,Floral Designers,detailed,96620,31998.57
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",detailed,46410,35838.02
51-3092,Food Batchmakers,detailed,428940,34669.54
51-3093,Food Cooking Machine Operators and Tenders,detailed,57680,34482.08
35-3021,"Food Preparation and Serving Related Workers, All Other",detailed,225920,28683.18
35-2021,Food Preparation Workers,detailed,2418930,29015.66
19-4013,Food Science Technicians,detailed,24780,46877.72
19-1012,Food Scientists and Technologists,detailed,21340,78449.27
35-3041,"Food Servers, Nonrestaurant",detailed,656950,28681.74
Nov-51,Food Service Managers,detailed,671660,69799.5
25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,38770,76926.81
19-4092,Forensic Science Technicians,detailed,30110,63359.61
19-4093,Forest and Conservation Technicians,detailed,54900,44982.57
45-4011,Forest and Conservation Workers,detailed,7060,36951.43
33-2022,Forest Fire Inspectors and Prevention Specialists,detailed,4660,53744.41
19-1032,Foresters,detailed,12810,70161.57
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed,950,87670.63
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,20050,43471.88
51-4071,Foundry Mold and Coremakers,detailed,31440,39518.82
39-4021,Funeral Attendants,detailed,98520,32523.8
39-4831,Funeral Home Managers,detailed,37470,82004.89
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detailed,23630,42918.05
51-7021,Furniture Finishers,detailed,38340,38141.73
39-3012,Gambling and Sports Book Writers and Runners,detailed,17980,28031.29
43-3041,Gambling Cage Workers,detailed,30690,30608.82
41-2012,Gambling Change Persons and Booth Cashiers,detailed,44050,29791.87
39-3011,Gambling Dealers,detailed,179250,29124.06
Nov-71,Gambling Managers,detailed,9140,84287.65
33-9031,Gambling Surveillance Officers and Gambling Investigators,detailed,23380,39656.67
53-7071,Gas Compressor and Gas Pumping Station Operators,detailed,3720,65835.2
51-8092,Gas Plant Operators,detailed,22780,72595.74
11-1021,General and Operations Managers,detailed,8264800,109509.9
29-1216,General Internal Medicine Physicians,detailed,159060,249889.91
19-3092,Geographers,detailed,1440,88106.84
25-1064,"Geography Teachers, Postsecondary",detailed,5900,86528.62
19-4041,"Geological Technicians, Except Hydrologic Technicians",detailed,10510,55053.43
19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,41360,90247.36
47-2121,Glaziers,detailed,135490,49437.25
45-2041,"Graders and Sorters, Agricultural Products",detailed,65850,31431.31
27-1024,Graphic Designers,detailed,429150,57687.36
51-9022,"Grinding and Polishing Workers, Hand",detailed,27940,34926.98
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,190010,39067.77
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detailed,815520,34881.22
47-4041,Hazardous Materials Removal Workers,detailed,109380,47902.04
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,29970,99993.31
21-1091,Health Education Specialists,detailed,117310,58997.44
29-2071,Health Information Technologists and Medical Registrars,detailed,87590,59389.44
25-1071,"Health Specialties Teachers, Postsecondary",detailed,337640,109264.29
29-2799,"Health Technologists and Technicians, All Other",detailed,390750,51360.27
29-1199,"Healthcare Diagnosing or Treating Practitioners, All Other",detailed,47940,103609.12
29-9799,"Healthcare Practitioners and Technical Workers, All Other",detailed,97120,62321.18
21-1022,Healthcare Social Workers,detailed,493060,59245.67
31-9799,"Healthcare Support Workers, All Other",detailed,265360,40017.14
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detailed,30430,41748.32
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detailed,1247960,55653.8
53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,4522620,47284.22
47-3011,"Helpers-Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detailed,59930,42473.69
47-3012,Helpers-Carpenters,detailed,70380,35302.95
47-3013,Helpers-Electricians,detailed,269520,36351.39
47-5081,Helpers-Extraction Workers,detailed,9780,40648.75
49-9098,"Helpers-Installation, Maintenance, and Repair Workers",detailed,236830,34214.98
47-3014,"Helpers-Painters, Paperhangers, Plasterers, and Stucco Masons",detailed,25230,33694.75
